dist_km,pure_qkd_kbps,pure_pqc_kbps,hybrid_kbps
1.0,1359.6048,122.0,1357.3206
1.5,1298.6125,122.0,1296.4308
2.0,1240.3563,122.0,1238.2725
2.49,1184.7135,122.0,1182.7232
2.99,1131.5669,122.0,1129.6659
3.49,1080.8044,122.0,1078.9887
3.99,1032.3192,122.0,1030.5849
4.49,986.009,122.0,984.3526
4.99,941.7764,122.0,940.1942
5.48,899.528,122.0,898.0168
5.98,859.1749,122.0,857.7315
6.48,820.632,122.0,819.2534
6.98,783.8182,122.0,782.5014
7.48,748.6559,122.0,747.3981
7.98,715.0709,122.0,713.8696
8.47,682.9926,122.0,681.8452
8.97,652.3534,122.0,651.2574
9.47,623.0886,122.0,622.0418
9.97,595.1366,122.0,594.1368
10.47,568.4386,122.0,567.4836
10.97,542.9383,122.0,542.0261
11.46,518.5819,122.0,517.7107
11.96,495.3182,122.0,494.486
12.46,473.098,122.0,472.3032
12.96,451.8747,122.0,451.1155
13.46,431.6035,122.0,430.8784
13.96,412.2416,122.0,411.549
14.45,393.7483,122.0,393.0868
14.95,376.0846,122.0,375.4528
15.45,359.2134,122.0,358.6099
15.95,343.0989,122.0,342.5225
16.45,327.7074,122.0,327.1569
16.95,313.0063,122.0,312.4805
17.44,298.9648,122.0,298.4625
17.94,285.5531,122.0,285.0734
18.44,272.7431,122.0,272.2849
18.94,260.5078,122.0,260.0701
19.44,248.8213,122.0,248.4033
19.94,237.6591,122.0,237.2598
20.43,226.9977,122.0,226.6163
20.93,216.8145,122.0,216.4502
21.43,207.0881,122.0,206.7402
21.93,197.7981,122.0,197.4658
22.43,188.9248,122.0,188.6074
22.93,180.4496,122.0,180.1464
23.42,172.3545,122.0,172.065
23.92,164.6227,122.0,164.3461
24.42,157.2376,122.0,156.9735
24.92,150.1839,122.0,149.9316
25.42,143.4466,122.0,143.2056
25.92,137.0115,122.0,136.7814
26.41,130.8652,122.0,130.6453
26.91,124.9945,122.0,124.7845
27.41,119.3872,122.0,119.1866
27.91,114.0315,122.0,113.8399
28.41,108.916,122.0,108.733
28.91,104.03,122.0,103.8552
29.4,99.3632,122.0,99.1962
29.9,94.9057,122.0,94.7463
30.4,90.6482,122.0,90.4959
30.9,86.5817,122.0,86.4362
31.4,82.6976,122.0,82.5587
31.9,78.9878,122.0,78.8551
32.39,75.4443,122.0,75.3176
32.89,72.0599,122.0,71.9388
33.39,68.8273,122.0,68.7116
33.89,65.7397,122.0,65.6292
34.39,62.7905,122.0,62.6851
34.89,59.9737,122.0,59.873
35.38,57.2833,122.0,57.1871
35.88,54.7136,122.0,54.6216
36.38,52.2591,122.0,52.1713
36.88,49.9147,122.0,49.8309
37.38,47.6755,122.0,47.5954
37.88,45.5368,122.0,45.4603
38.37,43.494,122.0,43.4209
38.87,41.5428,122.0,41.4731
39.37,39.6792,122.0,39.6126
39.87,37.8992,122.0,37.8355
40.37,36.199,122.0,36.1382
40.87,34.5751,122.0,34.517
41.36,33.0241,122.0,32.9686
41.86,31.5426,122.0,31.4896
42.36,30.1276,122.0,30.077
42.86,28.7761,122.0,28.7277
43.36,27.4852,122.0,27.439
43.86,26.2522,122.0,26.2081
44.35,25.0745,122.0,25.0324
44.85,23.9496,122.0,23.9094
45.35,22.8753,122.0,22.8368
45.85,21.8491,122.0,21.8124
46.35,20.8689,122.0,20.8338
46.85,19.9327,122.0,19.8992
47.34,19.0385,122.0,19.0065
47.84,18.1845,122.0,18.1539
48.34,17.3687,122.0,17.3395
48.84,16.5895,122.0,16.5617
49.34,15.8453,122.0,15.8187
49.84,15.1345,122.0,15.1091
50.33,14.4556,122.0,14.4313
50.83,13.8071,122.0,13.7839
51.33,13.1877,122.0,13.1655
51.83,12.5961,122.0,12.5749
52.33,12.031,122.0,12.0108
52.83,11.4913,122.0,11.472
53.32,10.9758,122.0,10.9574
53.82,10.4834,122.0,10.4658
54.32,10.0131,122.0,9.9963
54.82,9.5639,122.0,9.5479
55.32,9.1349,122.0,9.1196
55.82,8.7251,122.0,8.7104
56.31,8.3337,122.0,8.3197
56.81,7.9598,122.0,7.9465
57.31,7.6028,122.0,7.59
57.81,7.2617,122.0,7.2495
58.31,6.9359,122.0,6.9243
58.81,6.6248,122.0,6.6137
59.3,6.3276,122.0,6.317
59.8,6.0437,122.0,6.0336
60.3,5.7726,122.0,5.7629
60.8,5.5137,122.0,5.5044
61.3,5.2663,122.0,5.2575
61.8,5.0301,122.0,5.0216
62.29,4.8044,122.0,4.7963
62.79,4.5889,122.0,4.5812
63.29,4.383,122.0,4.3757
63.79,4.1864,122.0,4.1794
64.29,3.9986,122.0,3.9919
64.79,3.8192,122.0,3.8128
65.28,3.6479,122.0,3.6418
65.78,3.4842,122.0,3.4784
66.28,3.3279,122.0,3.3223
66.78,3.1786,122.0,3.1733
67.28,3.0361,122.0,3.0309
67.78,2.8999,122.0,2.895
68.27,2.7698,122.0,2.7651
68.77,2.6455,122.0,2.6411
69.27,2.5268,122.0,2.5226
69.77,2.4135,122.0,2.4094
70.27,2.3052,122.0,2.3013
70.77,2.2018,122.0,2.1981
71.26,2.103,122.0,2.0995
71.76,2.0087,122.0,2.0053
72.26,1.9186,122.0,1.9153
72.76,1.8325,122.0,1.8294
73.26,1.7503,122.0,1.7474
73.76,1.6718,122.0,1.669
74.25,1.5968,122.0,1.5941
74.75,1.5251,122.0,1.5226
75.25,1.4567,122.0,1.4543
75.75,1.3914,122.0,1.389
76.25,1.329,122.0,1.3267
76.75,1.2693,122.0,1.2672
77.24,1.2124,122.0,1.2104
77.74,1.158,122.0,1.1561
78.24,1.1061,122.0,1.1042
78.74,1.0564,122.0,1.0547
79.24,1.0091,122.0,1.0074
79.74,0.9638,122.0,0.9622
80.23,0.9206,122.0,0.919
80.73,0.8793,122.0,0.8778
81.23,0.8398,122.0,0.8384
81.73,0.8021,122.0,0.8008
82.23,0.7662,122.0,0.7649
82.73,0.7318,122.0,0.7306
83.22,0.699,122.0,0.6978
83.72,0.6676,122.0,0.6665
84.22,0.6377,122.0,0.6366
84.72,0.609,122.0,0.608
85.22,0.5817,122.0,0.5807
85.72,0.5556,122.0,0.5547
86.21,0.5307,122.0,0.5298
86.71,0.5069,122.0,0.506
87.21,0.4842,122.0,0.4833
87.71,0.4624,122.0,0.4617
88.21,0.4417,122.0,0.4409
88.71,0.4219,122.0,0.4212
89.2,0.403,122.0,0.4023
89.7,0.3849,122.0,0.3842
90.2,0.3676,122.0,0.367
90.7,0.3511,122.0,0.3505
91.2,0.3354,122.0,0.3348
91.7,0.3203,122.0,0.3198
92.19,0.306,122.0,0.3054
92.69,0.2922,122.0,0.2917
93.19,0.2791,122.0,0.2786
93.69,0.2666,122.0,0.2661
94.19,0.2546,122.0,0.2542
94.69,0.2432,122.0,0.2428
95.18,0.2323,122.0,0.2319
95.68,0.2219,122.0,0.2215
96.18,0.2119,122.0,0.2116
96.68,0.2024,122.0,0.2021
97.18,0.1933,122.0,0.193
97.68,0.1847,122.0,0.1844
98.17,0.1764,122.0,0.1761
98.67,0.1685,122.0,0.1682
99.17,0.1609,122.0,0.1606
99.67,0.1537,122.0,0.1534
100.17,0.1468,122.0,0.1466
100.67,0.1402,122.0,0.14
101.16,0.1339,122.0,0.1337
101.66,0.1279,122.0,0.1277
102.16,0.1222,122.0,0.122
102.66,0.1167,122.0,0.1165
103.16,0.1115,122.0,0.1113
103.66,0.1065,122.0,0.1063
104.15,0.1017,122.0,0.1015
104.65,0.0971,122.0,0.097
105.15,0.0928,122.0,0.0926
105.65,0.0886,122.0,0.0885
106.15,0.0846,122.0,0.0845
106.65,0.0808,122.0,0.0807
107.14,0.0772,122.0,0.0771
107.64,0.0737,122.0,0.0736
108.14,0.0704,122.0,0.0703
108.64,0.0673,122.0,0.0672
109.14,0.0643,122.0,0.0642
109.64,0.0614,122.0,0.0613
110.13,0.0586,122.0,0.0585
110.63,0.056,122.0,0.0559
111.13,0.0535,122.0,0.0534
111.63,0.0511,122.0,0.051
112.13,0.0488,122.0,0.0487
112.63,0.0466,122.0,0.0465
113.12,0.0445,122.0,0.0444
113.62,0.0425,122.0,0.0424
114.12,0.0406,122.0,0.0405
114.62,0.0388,122.0,0.0387
115.12,0.037,122.0,0.037
115.62,0.0354,122.0,0.0353
116.11,0.0338,122.0,0.0337
116.61,0.0323,122.0,0.0322
117.11,0.0308,122.0,0.0308
117.61,0.0294,122.0,0.0294
118.11,0.0281,122.0,0.0281
118.61,0.0269,122.0,0.0268
119.1,0.0257,122.0,0.0256
119.6,0.0245,122.0,0.0245
120.1,0.0234,122.0,0.0234
120.6,0.0224,122.0,0.0223
121.1,0.0214,122.0,0.0213
121.6,0.0204,122.0,0.0204
122.09,0.0195,122.0,0.0195
122.59,0.0186,122.0,0.0186
123.09,0.0178,122.0,0.0177
123.59,0.017,122.0,0.0169
124.09,0.0162,122.0,0.0162
124.59,0.0155,122.0,0.0155
125.08,0.0148,122.0,0.0148
125.58,0.0141,122.0,0.0141
126.08,0.0135,122.0,0.0135
126.58,0.0129,122.0,0.0129
127.08,0.0123,122.0,0.0123
127.58,0.0118,122.0,0.0117
128.07,0.0112,122.0,0.0112
128.57,0.0107,122.0,0.0107
129.07,0.0102,122.0,0.0102
129.57,0.0098,122.0,0.0098
130.07,0.0093,122.0,0.0093
130.57,0.0089,122.0,0.0089
131.06,0.0085,122.0,0.0085
131.56,0.0081,122.0,0.0081
132.06,0.0078,122.0,0.0078
132.56,0.0074,122.0,0.0074
133.06,0.0071,122.0,0.0071
133.56,0.0068,122.0,0.0068
134.05,0.0065,122.0,0.0065
134.55,0.0062,122.0,0.0062
135.05,0.0059,122.0,0.0059
135.55,0.0056,122.0,0.0056
136.05,0.0054,122.0,0.0054
136.55,0.0051,122.0,0.0051
137.04,0.0049,122.0,0.0049
137.54,0.0047,122.0,0.0047
138.04,0.0045,122.0,0.0045
138.54,0.0043,122.0,0.0043
139.04,0.0041,122.0,0.0041
139.54,0.0039,122.0,0.0039
140.03,0.0037,122.0,0.0037
140.53,0.0036,122.0,0.0036
141.03,0.0034,122.0,0.0034
141.53,0.0033,122.0,0.0032
142.03,0.0031,122.0,0.0031
142.53,0.003,122.0,0.003
143.02,0.0028,122.0,0.0028
143.52,0.0027,122.0,0.0027
144.02,0.0026,122.0,0.0026
144.52,0.0025,122.0,0.0025
145.02,0.0024,122.0,0.0024
145.52,0.0023,122.0,0.0022
146.01,0.0022,122.0,0.0021
146.51,0.0021,122.0,0.0021
147.01,0.002,122.0,0.002
147.51,0.0019,122.0,0.0019
148.01,0.0018,122.0,0.0018
148.51,0.0017,122.0,0.0017
149.0,0.0016,122.0,0.0016
149.5,0.0016,122.0,0.0016
150.0,0.0015,122.0,0.0015
