chsh_thr,qber_thr_pct,fp_rate,detect_p005,detect_p020
2.2,1.5,0.15866,0.99018,1.0
2.2,1.6,0.11346,0.98321,1.0
2.2,1.71,0.07829,0.97236,1.0
2.2,1.81,0.05208,0.95621,1.0
2.2,1.92,0.03338,0.93319,1.0
2.2,2.02,0.02059,0.90176,1.0
2.2,2.12,0.01222,0.86067,1.0
2.2,2.23,0.00698,0.80921,1.0
2.2,2.33,0.00383,0.74751,1.0
2.2,2.44,0.00202,0.67664,1.0
2.2,2.54,0.00102,0.59871,1.0
2.2,2.65,0.0005,0.51662,1.0
2.2,2.75,0.00023,0.43382,1.0
2.2,2.85,0.0001,0.35383,1.0
2.2,2.96,4e-05,0.27983,1.0
2.2,3.06,2e-05,0.21428,1.0
2.2,3.17,1e-05,0.15866,1.0
2.2,3.27,0.0,0.11346,1.0
2.2,3.38,0.0,0.07829,1.0
2.2,3.48,0.0,0.05208,1.0
2.2,3.58,0.0,0.03338,1.0
2.2,3.69,0.0,0.02059,1.0
2.2,3.79,0.0,0.01222,1.0
2.2,3.9,0.0,0.00698,1.0
2.2,4.0,0.0,0.00383,1.0
2.221,1.5,0.15866,0.99018,1.0
2.221,1.6,0.11346,0.98321,1.0
2.221,1.71,0.07829,0.97236,1.0
2.221,1.81,0.05208,0.95621,1.0
2.221,1.92,0.03338,0.93319,1.0
2.221,2.02,0.02059,0.90176,1.0
2.221,2.12,0.01222,0.86067,1.0
2.221,2.23,0.00698,0.80921,1.0
2.221,2.33,0.00383,0.74751,1.0
2.221,2.44,0.00202,0.67664,1.0
2.221,2.54,0.00102,0.59871,1.0
2.221,2.65,0.0005,0.51662,1.0
2.221,2.75,0.00023,0.43382,1.0
2.221,2.85,0.0001,0.35383,1.0
2.221,2.96,4e-05,0.27983,1.0
2.221,3.06,2e-05,0.21428,1.0
2.221,3.17,1e-05,0.15866,1.0
2.221,3.27,0.0,0.11346,1.0
2.221,3.38,0.0,0.07829,1.0
2.221,3.48,0.0,0.05208,1.0
2.221,3.58,0.0,0.03338,1.0
2.221,3.69,0.0,0.02059,1.0
2.221,3.79,0.0,0.01222,1.0
2.221,3.9,0.0,0.00698,1.0
2.221,4.0,0.0,0.00383,1.0
2.242,1.5,0.15866,0.99018,1.0
2.242,1.6,0.11346,0.98321,1.0
2.242,1.71,0.07829,0.97236,1.0
2.242,1.81,0.05208,0.95621,1.0
2.242,1.92,0.03338,0.93319,1.0
2.242,2.02,0.02059,0.90176,1.0
2.242,2.12,0.01222,0.86067,1.0
2.242,2.23,0.00698,0.80921,1.0
2.242,2.33,0.00383,0.74751,1.0
2.242,2.44,0.00202,0.67664,1.0
2.242,2.54,0.00102,0.59871,1.0
2.242,2.65,0.0005,0.51662,1.0
2.242,2.75,0.00023,0.43382,1.0
2.242,2.85,0.0001,0.35383,1.0
2.242,2.96,4e-05,0.27983,1.0
2.242,3.06,2e-05,0.21428,1.0
2.242,3.17,1e-05,0.15866,1.0
2.242,3.27,0.0,0.11346,1.0
2.242,3.38,0.0,0.07829,1.0
2.242,3.48,0.0,0.05208,1.0
2.242,3.58,0.0,0.03338,1.0
2.242,3.69,0.0,0.02059,1.0
2.242,3.79,0.0,0.01222,1.0
2.242,3.9,0.0,0.00698,1.0
2.242,4.0,0.0,0.00383,1.0
2.262,1.5,0.15866,0.99018,1.0
2.262,1.6,0.11346,0.98321,1.0
2.262,1.71,0.07829,0.97236,1.0
2.262,1.81,0.05208,0.95621,1.0
2.262,1.92,0.03338,0.93319,1.0
2.262,2.02,0.02059,0.90176,1.0
2.262,2.12,0.01222,0.86067,1.0
2.262,2.23,0.00698,0.80921,1.0
2.262,2.33,0.00383,0.74751,1.0
2.262,2.44,0.00202,0.67664,1.0
2.262,2.54,0.00102,0.59871,1.0
2.262,2.65,0.0005,0.51662,1.0
2.262,2.75,0.00023,0.43382,1.0
2.262,2.85,0.0001,0.35383,1.0
2.262,2.96,4e-05,0.27983,1.0
2.262,3.06,2e-05,0.21428,1.0
2.262,3.17,1e-05,0.15866,1.0
2.262,3.27,0.0,0.11346,1.0
2.262,3.38,0.0,0.07829,1.0
2.262,3.48,0.0,0.05208,1.0
2.262,3.58,0.0,0.03338,1.0
2.262,3.69,0.0,0.02059,1.0
2.262,3.79,0.0,0.01222,1.0
2.262,3.9,0.0,0.00698,1.0
2.262,4.0,0.0,0.00383,1.0
2.283,1.5,0.15866,0.99018,1.0
2.283,1.6,0.11346,0.98321,1.0
2.283,1.71,0.07829,0.97236,1.0
2.283,1.81,0.05208,0.95621,1.0
2.283,1.92,0.03338,0.93319,1.0
2.283,2.02,0.02059,0.90176,1.0
2.283,2.12,0.01222,0.86067,1.0
2.283,2.23,0.00698,0.80921,1.0
2.283,2.33,0.00383,0.74751,1.0
2.283,2.44,0.00202,0.67664,1.0
2.283,2.54,0.00102,0.59871,1.0
2.283,2.65,0.0005,0.51662,1.0
2.283,2.75,0.00023,0.43382,1.0
2.283,2.85,0.0001,0.35383,1.0
2.283,2.96,4e-05,0.27983,1.0
2.283,3.06,2e-05,0.21428,1.0
2.283,3.17,1e-05,0.15866,1.0
2.283,3.27,0.0,0.11346,1.0
2.283,3.38,0.0,0.07829,1.0
2.283,3.48,0.0,0.05208,1.0
2.283,3.58,0.0,0.03338,1.0
2.283,3.69,0.0,0.02059,1.0
2.283,3.79,0.0,0.01222,1.0
2.283,3.9,0.0,0.00698,1.0
2.283,4.0,0.0,0.00383,1.0
2.304,1.5,0.15866,0.99018,1.0
2.304,1.6,0.11346,0.98321,1.0
2.304,1.71,0.07829,0.97236,1.0
2.304,1.81,0.05208,0.95621,1.0
2.304,1.92,0.03338,0.93319,1.0
2.304,2.02,0.02059,0.90176,1.0
2.304,2.12,0.01222,0.86067,1.0
2.304,2.23,0.00698,0.80921,1.0
2.304,2.33,0.00383,0.74751,1.0
2.304,2.44,0.00202,0.67664,1.0
2.304,2.54,0.00102,0.59871,1.0
2.304,2.65,0.0005,0.51662,1.0
2.304,2.75,0.00023,0.43382,1.0
2.304,2.85,0.0001,0.35383,1.0
2.304,2.96,4e-05,0.27983,1.0
2.304,3.06,2e-05,0.21428,1.0
2.304,3.17,1e-05,0.15866,1.0
2.304,3.27,0.0,0.11346,1.0
2.304,3.38,0.0,0.07829,1.0
2.304,3.48,0.0,0.05208,1.0
2.304,3.58,0.0,0.03338,1.0
2.304,3.69,0.0,0.02059,1.0
2.304,3.79,0.0,0.01222,1.0
2.304,3.9,0.0,0.00698,1.0
2.304,4.0,0.0,0.00383,1.0
2.325,1.5,0.15866,0.99018,1.0
2.325,1.6,0.11346,0.98321,1.0
2.325,1.71,0.07829,0.97236,1.0
2.325,1.81,0.05208,0.95621,1.0
2.325,1.92,0.03338,0.93319,1.0
2.325,2.02,0.02059,0.90176,1.0
2.325,2.12,0.01222,0.86067,1.0
2.325,2.23,0.00698,0.80921,1.0
2.325,2.33,0.00383,0.74751,1.0
2.325,2.44,0.00202,0.67664,1.0
2.325,2.54,0.00102,0.59871,1.0
2.325,2.65,0.0005,0.51662,1.0
2.325,2.75,0.00023,0.43382,1.0
2.325,2.85,0.0001,0.35383,1.0
2.325,2.96,4e-05,0.27983,1.0
2.325,3.06,2e-05,0.21428,1.0
2.325,3.17,1e-05,0.15866,1.0
2.325,3.27,0.0,0.11346,1.0
2.325,3.38,0.0,0.07829,1.0
2.325,3.48,0.0,0.05208,1.0
2.325,3.58,0.0,0.03338,1.0
2.325,3.69,0.0,0.02059,1.0
2.325,3.79,0.0,0.01222,1.0
2.325,3.9,0.0,0.00698,1.0
2.325,4.0,0.0,0.00383,1.0
2.346,1.5,0.15866,0.99018,1.0
2.346,1.6,0.11346,0.98321,1.0
2.346,1.71,0.07829,0.97236,1.0
2.346,1.81,0.05208,0.95621,1.0
2.346,1.92,0.03338,0.93319,1.0
2.346,2.02,0.02059,0.90176,1.0
2.346,2.12,0.01222,0.86067,1.0
2.346,2.23,0.00698,0.80921,1.0
2.346,2.33,0.00383,0.74751,1.0
2.346,2.44,0.00202,0.67664,1.0
2.346,2.54,0.00102,0.59871,1.0
2.346,2.65,0.0005,0.51662,1.0
2.346,2.75,0.00023,0.43382,1.0
2.346,2.85,0.0001,0.35383,1.0
2.346,2.96,4e-05,0.27983,1.0
2.346,3.06,2e-05,0.21428,1.0
2.346,3.17,1e-05,0.15866,1.0
2.346,3.27,0.0,0.11346,1.0
2.346,3.38,0.0,0.07829,1.0
2.346,3.48,0.0,0.05208,1.0
2.346,3.58,0.0,0.03338,1.0
2.346,3.69,0.0,0.02059,1.0
2.346,3.79,0.0,0.01222,1.0
2.346,3.9,0.0,0.00698,1.0
2.346,4.0,0.0,0.00383,1.0
2.367,1.5,0.15866,0.99018,1.0
2.367,1.6,0.11346,0.98321,1.0
2.367,1.71,0.07829,0.97236,1.0
2.367,1.81,0.05208,0.95621,1.0
2.367,1.92,0.03338,0.93319,1.0
2.367,2.02,0.02059,0.90176,1.0
2.367,2.12,0.01222,0.86067,1.0
2.367,2.23,0.00698,0.80921,1.0
2.367,2.33,0.00383,0.74751,1.0
2.367,2.44,0.00202,0.67664,1.0
2.367,2.54,0.00102,0.59871,1.0
2.367,2.65,0.0005,0.51662,1.0
2.367,2.75,0.00023,0.43382,1.0
2.367,2.85,0.0001,0.35383,1.0
2.367,2.96,4e-05,0.27983,1.0
2.367,3.06,2e-05,0.21428,1.0
2.367,3.17,1e-05,0.15866,1.0
2.367,3.27,0.0,0.11346,1.0
2.367,3.38,0.0,0.07829,1.0
2.367,3.48,0.0,0.05208,1.0
2.367,3.58,0.0,0.03338,1.0
2.367,3.69,0.0,0.02059,1.0
2.367,3.79,0.0,0.01222,1.0
2.367,3.9,0.0,0.00698,1.0
2.367,4.0,0.0,0.00383,1.0
2.388,1.5,0.15866,0.99018,1.0
2.388,1.6,0.11346,0.98321,1.0
2.388,1.71,0.07829,0.97236,1.0
2.388,1.81,0.05208,0.95621,1.0
2.388,1.92,0.03338,0.93319,1.0
2.388,2.02,0.02059,0.90176,1.0
2.388,2.12,0.01222,0.86067,1.0
2.388,2.23,0.00698,0.80921,1.0
2.388,2.33,0.00383,0.74751,1.0
2.388,2.44,0.00202,0.67664,1.0
2.388,2.54,0.00102,0.59871,1.0
2.388,2.65,0.0005,0.51662,1.0
2.388,2.75,0.00023,0.43382,1.0
2.388,2.85,0.0001,0.35383,1.0
2.388,2.96,4e-05,0.27983,1.0
2.388,3.06,2e-05,0.21428,1.0
2.388,3.17,1e-05,0.15866,1.0
2.388,3.27,0.0,0.11346,1.0
2.388,3.38,0.0,0.07829,1.0
2.388,3.48,0.0,0.05208,1.0
2.388,3.58,0.0,0.03338,1.0
2.388,3.69,0.0,0.02059,1.0
2.388,3.79,0.0,0.01222,1.0
2.388,3.9,0.0,0.00698,1.0
2.388,4.0,0.0,0.00383,1.0
2.408,1.5,0.15866,0.99018,1.0
2.408,1.6,0.11346,0.98321,1.0
2.408,1.71,0.07829,0.97236,1.0
2.408,1.81,0.05208,0.95621,1.0
2.408,1.92,0.03338,0.93319,1.0
2.408,2.02,0.02059,0.90176,1.0
2.408,2.12,0.01222,0.86067,1.0
2.408,2.23,0.00698,0.80921,1.0
2.408,2.33,0.00383,0.74751,1.0
2.408,2.44,0.00202,0.67664,1.0
2.408,2.54,0.00102,0.59871,1.0
2.408,2.65,0.0005,0.51662,1.0
2.408,2.75,0.00023,0.43382,1.0
2.408,2.85,0.0001,0.35383,1.0
2.408,2.96,4e-05,0.27983,1.0
2.408,3.06,2e-05,0.21428,1.0
2.408,3.17,1e-05,0.15866,1.0
2.408,3.27,0.0,0.11346,1.0
2.408,3.38,0.0,0.07829,1.0
2.408,3.48,0.0,0.05208,1.0
2.408,3.58,0.0,0.03338,1.0
2.408,3.69,0.0,0.02059,1.0
2.408,3.79,0.0,0.01222,1.0
2.408,3.9,0.0,0.00698,1.0
2.408,4.0,0.0,0.00383,1.0
2.429,1.5,0.15866,0.99018,1.0
2.429,1.6,0.11346,0.98321,1.0
2.429,1.71,0.07829,0.97236,1.0
2.429,1.81,0.05208,0.95621,1.0
2.429,1.92,0.03338,0.93319,1.0
2.429,2.02,0.02059,0.90176,1.0
2.429,2.12,0.01222,0.86067,1.0
2.429,2.23,0.00698,0.80921,1.0
2.429,2.33,0.00383,0.74751,1.0
2.429,2.44,0.00202,0.67664,1.0
2.429,2.54,0.00102,0.59871,1.0
2.429,2.65,0.0005,0.51662,1.0
2.429,2.75,0.00023,0.43382,1.0
2.429,2.85,0.0001,0.35383,1.0
2.429,2.96,4e-05,0.27983,1.0
2.429,3.06,2e-05,0.21428,1.0
2.429,3.17,1e-05,0.15866,1.0
2.429,3.27,0.0,0.11346,1.0
2.429,3.38,0.0,0.07829,1.0
2.429,3.48,0.0,0.05208,1.0
2.429,3.58,0.0,0.03338,1.0
2.429,3.69,0.0,0.02059,1.0
2.429,3.79,0.0,0.01222,1.0
2.429,3.9,0.0,0.00698,1.0
2.429,4.0,0.0,0.00383,1.0
2.45,1.5,0.15866,0.99018,1.0
2.45,1.6,0.11346,0.98321,1.0
2.45,1.71,0.07829,0.97236,1.0
2.45,1.81,0.05208,0.95621,1.0
2.45,1.92,0.03338,0.93319,1.0
2.45,2.02,0.02059,0.90176,1.0
2.45,2.12,0.01222,0.86067,1.0
2.45,2.23,0.00698,0.80921,1.0
2.45,2.33,0.00383,0.74751,1.0
2.45,2.44,0.00202,0.67664,1.0
2.45,2.54,0.00102,0.59871,1.0
2.45,2.65,0.0005,0.51662,1.0
2.45,2.75,0.00023,0.43382,1.0
2.45,2.85,0.0001,0.35383,1.0
2.45,2.96,4e-05,0.27983,1.0
2.45,3.06,2e-05,0.21428,1.0
2.45,3.17,1e-05,0.15866,1.0
2.45,3.27,0.0,0.11346,1.0
2.45,3.38,0.0,0.07829,1.0
2.45,3.48,0.0,0.05208,1.0
2.45,3.58,0.0,0.03338,1.0
2.45,3.69,0.0,0.02059,1.0
2.45,3.79,0.0,0.01222,1.0
2.45,3.9,0.0,0.00698,1.0
2.45,4.0,0.0,0.00383,1.0
2.471,1.5,0.15866,0.99018,1.0
2.471,1.6,0.11346,0.98321,1.0
2.471,1.71,0.07829,0.97236,1.0
2.471,1.81,0.05208,0.95621,1.0
2.471,1.92,0.03338,0.93319,1.0
2.471,2.02,0.02059,0.90176,1.0
2.471,2.12,0.01222,0.86067,1.0
2.471,2.23,0.00698,0.80921,1.0
2.471,2.33,0.00383,0.74751,1.0
2.471,2.44,0.00202,0.67664,1.0
2.471,2.54,0.00102,0.59871,1.0
2.471,2.65,0.0005,0.51662,1.0
2.471,2.75,0.00023,0.43382,1.0
2.471,2.85,0.0001,0.35383,1.0
2.471,2.96,4e-05,0.27983,1.0
2.471,3.06,2e-05,0.21428,1.0
2.471,3.17,1e-05,0.15866,1.0
2.471,3.27,0.0,0.11346,1.0
2.471,3.38,0.0,0.07829,1.0
2.471,3.48,0.0,0.05208,1.0
2.471,3.58,0.0,0.03338,1.0
2.471,3.69,0.0,0.02059,1.0
2.471,3.79,0.0,0.01222,1.0
2.471,3.9,0.0,0.00698,1.0
2.471,4.0,0.0,0.00383,1.0
2.492,1.5,0.15866,0.99018,1.0
2.492,1.6,0.11346,0.98321,1.0
2.492,1.71,0.07829,0.97236,1.0
2.492,1.81,0.05208,0.95621,1.0
2.492,1.92,0.03338,0.93319,1.0
2.492,2.02,0.02059,0.90176,1.0
2.492,2.12,0.01222,0.86067,1.0
2.492,2.23,0.00698,0.80921,1.0
2.492,2.33,0.00383,0.74751,1.0
2.492,2.44,0.00202,0.67664,1.0
2.492,2.54,0.00102,0.59871,1.0
2.492,2.65,0.0005,0.51662,1.0
2.492,2.75,0.00023,0.43382,1.0
2.492,2.85,0.0001,0.35383,1.0
2.492,2.96,4e-05,0.27983,1.0
2.492,3.06,2e-05,0.21428,1.0
2.492,3.17,1e-05,0.15866,1.0
2.492,3.27,0.0,0.11346,1.0
2.492,3.38,0.0,0.07829,1.0
2.492,3.48,0.0,0.05208,1.0
2.492,3.58,0.0,0.03338,1.0
2.492,3.69,0.0,0.02059,1.0
2.492,3.79,0.0,0.01222,1.0
2.492,3.9,0.0,0.00698,1.0
2.492,4.0,0.0,0.00383,1.0
2.512,1.5,0.15866,0.99018,1.0
2.512,1.6,0.11346,0.98321,1.0
2.512,1.71,0.07829,0.97236,1.0
2.512,1.81,0.05208,0.95621,1.0
2.512,1.92,0.03338,0.93319,1.0
2.512,2.02,0.02059,0.90176,1.0
2.512,2.12,0.01222,0.86067,1.0
2.512,2.23,0.00698,0.80921,1.0
2.512,2.33,0.00383,0.74751,1.0
2.512,2.44,0.00202,0.67664,1.0
2.512,2.54,0.00102,0.59871,1.0
2.512,2.65,0.0005,0.51662,1.0
2.512,2.75,0.00023,0.43382,1.0
2.512,2.85,0.0001,0.35383,1.0
2.512,2.96,4e-05,0.27983,1.0
2.512,3.06,2e-05,0.21428,1.0
2.512,3.17,1e-05,0.15866,1.0
2.512,3.27,0.0,0.11346,1.0
2.512,3.38,0.0,0.07829,1.0
2.512,3.48,0.0,0.05208,1.0
2.512,3.58,0.0,0.03338,1.0
2.512,3.69,0.0,0.02059,1.0
2.512,3.79,0.0,0.01222,1.0
2.512,3.9,0.0,0.00698,1.0
2.512,4.0,0.0,0.00383,1.0
2.533,1.5,0.15866,0.99018,1.0
2.533,1.6,0.11346,0.98321,1.0
2.533,1.71,0.07829,0.97236,1.0
2.533,1.81,0.05208,0.95621,1.0
2.533,1.92,0.03338,0.93319,1.0
2.533,2.02,0.02059,0.90176,1.0
2.533,2.12,0.01222,0.86067,1.0
2.533,2.23,0.00698,0.80921,1.0
2.533,2.33,0.00383,0.74751,1.0
2.533,2.44,0.00202,0.67664,1.0
2.533,2.54,0.00102,0.59871,1.0
2.533,2.65,0.0005,0.51662,1.0
2.533,2.75,0.00023,0.43382,1.0
2.533,2.85,0.0001,0.35383,1.0
2.533,2.96,4e-05,0.27983,1.0
2.533,3.06,2e-05,0.21428,1.0
2.533,3.17,1e-05,0.15866,1.0
2.533,3.27,0.0,0.11346,1.0
2.533,3.38,0.0,0.07829,1.0
2.533,3.48,0.0,0.05208,1.0
2.533,3.58,0.0,0.03338,1.0
2.533,3.69,0.0,0.02059,1.0
2.533,3.79,0.0,0.01222,1.0
2.533,3.9,0.0,0.00698,1.0
2.533,4.0,0.0,0.00383,1.0
2.554,1.5,0.15866,0.99018,1.0
2.554,1.6,0.11346,0.98321,1.0
2.554,1.71,0.07829,0.97236,1.0
2.554,1.81,0.05208,0.95621,1.0
2.554,1.92,0.03338,0.93319,1.0
2.554,2.02,0.02059,0.90176,1.0
2.554,2.12,0.01222,0.86067,1.0
2.554,2.23,0.00698,0.80921,1.0
2.554,2.33,0.00383,0.74751,1.0
2.554,2.44,0.00202,0.67665,1.0
2.554,2.54,0.00102,0.59871,1.0
2.554,2.65,0.0005,0.51662,1.0
2.554,2.75,0.00023,0.43382,1.0
2.554,2.85,0.0001,0.35383,1.0
2.554,2.96,4e-05,0.27984,1.0
2.554,3.06,2e-05,0.21428,1.0
2.554,3.17,1e-05,0.15866,1.0
